date,bitcoin chart_unscaled,bitcoin chart_monthly,isPartial,scale,bitcoin chart
2019-01-02,76,6.0,,0.06,4.56
2019-01-03,100,6.0,,0.06,6.0
2019-01-04,88,6.0,,0.06,5.279999999999999
2019-01-05,37,6.0,,0.06,2.2199999999999998
2019-01-06,81,5.0,False,0.05,4.05
2019-01-07,66,5.0,,0.05,3.3000000000000003
2019-01-08,45,5.0,,0.05,2.25
2019-01-09,26,5.0,,0.05,1.3
2019-01-10,59,5.0,,0.05,2.95
2019-01-11,88,5.0,,0.05,4.4
2019-01-12,44,5.0,,0.05,2.2
2019-01-13,80,4.0,False,0.04,3.2
2019-01-14,26,4.0,,0.04,1.04
2019-01-15,51,4.0,,0.04,2.04
2019-01-16,46,4.0,,0.04,1.84
2019-01-17,78,4.0,,0.04,3.12
2019-01-18,47,4.0,,0.04,1.8800000000000001
2019-01-19,7,4.0,,0.04,0.28
2019-01-20,35,4.0,False,0.04,1.4000000000000001
2019-01-21,52,4.0,,0.04,2.08
2019-01-22,44,4.0,,0.04,1.76
2019-01-23,31,4.0,,0.04,1.24
2019-01-24,45,4.0,,0.04,1.8
2019-01-25,59,4.0,,0.04,2.36
2019-01-26,37,4.0,,0.04,1.48
2019-01-27,71,4.0,False,0.04,2.84
2019-01-28,19,4.0,,0.04,0.76
2019-01-29,45,4.0,,0.04,1.8
2019-01-30,51,4.0,,0.04,2.04
2019-01-31,19,4.0,,0.04,0.76
2019-02-01,68,4.0,,0.04,2.72
2019-02-02,92,4.0,,0.04,3.68
2019-02-03,66,3.0,False,0.03,1.98
2019-02-04,44,3.0,,0.03,1.3199999999999998
2019-02-05,44,3.0,,0.03,1.3199999999999998
2019-02-06,36,3.0,,0.03,1.08
2019-02-07,36,3.0,,0.03,1.08
2019-02-08,38,3.0,,0.03,1.14
2019-02-09,58,3.0,,0.03,1.74
2019-02-10,24,4.0,False,0.04,0.96
2019-02-11,43,4.0,,0.04,1.72
2019-02-12,79,4.0,,0.04,3.16
2019-02-13,57,4.0,,0.04,2.2800000000000002
2019-02-14,52,4.0,,0.04,2.08
2019-02-15,23,4.0,,0.04,0.92
2019-02-16,17,4.0,,0.04,0.68
2019-02-17,17,5.0,False,0.05,0.8500000000000001
2019-02-18,29,5.0,,0.05,1.4500000000000002
2019-02-19,50,5.0,,0.05,2.5
2019-02-20,51,5.0,,0.05,2.5500000000000003
2019-02-21,36,5.0,,0.05,1.8
2019-02-22,68,5.0,,0.05,3.4000000000000004
2019-02-23,100,5.0,,0.05,5.0
2019-02-24,91,4.0,False,0.04,3.64
2019-02-25,79,4.0,,0.04,3.16
2019-02-26,66,4.0,,0.04,2.64
2019-02-27,50,4.0,,0.04,2.0
2019-02-28,89,4.0,,0.04,3.56
2019-03-01,32,4.0,,0.04,1.28
2019-03-02,9,4.0,,0.04,0.36
2019-03-03,53,4.0,False,0.04,2.12
2019-03-04,47,4.0,,0.04,1.8800000000000001
2019-03-05,31,4.0,,0.04,1.24
2019-03-06,53,4.0,,0.04,2.12
2019-03-07,8,4.0,,0.04,0.32
2019-03-08,49,4.0,,0.04,1.96
2019-03-09,36,4.0,,0.04,1.44
2019-03-10,26,3.0,False,0.03,0.78
2019-03-11,46,3.0,,0.03,1.38
2019-03-12,69,3.0,,0.03,2.07
2019-03-13,31,3.0,,0.03,0.9299999999999999
2019-03-14,23,3.0,,0.03,0.69
2019-03-15,48,3.0,,0.03,1.44
2019-03-16,45,3.0,,0.03,1.3499999999999999
2019-03-17,53,4.0,False,0.04,2.12
2019-03-18,47,4.0,,0.04,1.8800000000000001
2019-03-19,66,4.0,,0.04,2.64
2019-03-20,63,4.0,,0.04,2.52
2019-03-21,24,4.0,,0.04,0.96
2019-03-22,41,4.0,,0.04,1.6400000000000001
2019-03-23,72,4.0,,0.04,2.88
2019-03-24,64,4.0,False,0.04,2.56
2019-03-25,23,4.0,,0.04,0.92
2019-03-26,62,4.0,,0.04,2.48
2019-03-27,31,4.0,,0.04,1.24
2019-03-28,48,4.0,,0.04,1.92
2019-03-29,33,4.0,,0.04,1.32
2019-03-30,100,4.0,,0.04,4.0
2019-03-31,36,8.0,False,0.08,2.88
2019-04-01,31,8.0,,0.08,2.48
2019-04-02,100,8.0,,0.08,8.0
2019-04-03,93,8.0,,0.08,7.44
2019-04-04,81,8.0,,0.08,6.48
2019-04-05,52,8.0,,0.08,4.16
2019-04-06,70,8.0,,0.08,5.6000000000000005
2019-04-07,78,5.0,False,0.05,3.9000000000000004
2019-04-08,68,5.0,,0.05,3.4000000000000004
2019-04-09,37,5.0,,0.05,1.85
2019-04-10,37,5.0,,0.05,1.85
2019-04-11,50,5.0,,0.05,2.5
2019-04-12,39,5.0,,0.05,1.9500000000000002
2019-04-13,15,5.0,,0.05,0.75
2019-04-14,49,4.0,False,0.04,1.96
2019-04-15,37,4.0,,0.04,1.48
2019-04-16,44,4.0,,0.04,1.76
2019-04-17,52,4.0,,0.04,2.08
2019-04-18,46,4.0,,0.04,1.84
2019-04-19,57,4.0,,0.04,2.2800000000000002
2019-04-20,45,4.0,,0.04,1.8
2019-04-21,30,4.0,False,0.04,1.2
2019-04-22,46,4.0,,0.04,1.84
2019-04-23,56,4.0,,0.04,2.24
2019-04-24,63,4.0,,0.04,2.52
2019-04-25,94,4.0,,0.04,3.7600000000000002
2019-04-26,32,4.0,,0.04,1.28
2019-04-27,50,4.0,,0.04,2.0
2019-04-28,14,4.0,False,0.04,0.56
2019-04-29,61,4.0,,0.04,2.44
2019-04-30,31,4.0,,0.04,1.24
2019-05-01,39,4.0,,0.04,1.56
2019-05-02,32,4.0,,0.04,1.28
2019-05-03,42,4.0,,0.04,1.68
2019-05-04,31,4.0,,0.04,1.24
2019-05-05,45,5.0,False,0.05,2.25
2019-05-06,32,5.0,,0.05,1.6
2019-05-07,40,5.0,,0.05,2.0
2019-05-08,45,5.0,,0.05,2.25
2019-05-09,51,5.0,,0.05,2.5500000000000003
2019-05-10,53,5.0,,0.05,2.6500000000000004
2019-05-11,59,5.0,,0.05,2.95
2019-05-12,68,13.0,False,0.13,8.84
2019-05-13,64,13.0,,0.13,8.32
2019-05-14,90,13.0,,0.13,11.700000000000001
2019-05-15,73,13.0,,0.13,9.49
2019-05-16,69,13.0,,0.13,8.97
2019-05-17,100,13.0,,0.13,13.0
2019-05-18,58,13.0,,0.13,7.54
2019-05-19,62,8.0,False,0.08,4.96
2019-05-20,67,8.0,,0.08,5.36
2019-05-21,53,8.0,,0.08,4.24
2019-05-22,31,8.0,,0.08,2.48
2019-05-23,35,8.0,,0.08,2.8000000000000003
2019-05-24,33,8.0,,0.08,2.64
2019-05-25,26,8.0,,0.08,2.08
2019-05-26,36,7.0,False,0.07,2.5200000000000005
2019-05-27,68,7.0,,0.07,4.760000000000001
2019-05-28,71,7.0,,0.07,4.970000000000001
2019-05-29,44,7.0,,0.07,3.08
2019-05-30,45,7.0,,0.07,3.1500000000000004
2019-05-31,61,7.0,,0.07,4.2700000000000005
2019-06-01,32,7.0,,0.07,2.24
2019-06-02,33,6.0,False,0.06,1.98
2019-06-03,11,6.0,,0.06,0.6599999999999999
2019-06-04,32,6.0,,0.06,1.92
2019-06-05,20,6.0,,0.06,1.2
2019-06-06,16,6.0,,0.06,0.96
2019-06-07,24,6.0,,0.06,1.44
2019-06-08,21,6.0,,0.06,1.26
2019-06-09,10,5.0,False,0.05,0.5
2019-06-10,7,5.0,,0.05,0.35000000000000003
2019-06-11,27,5.0,,0.05,1.35
2019-06-12,27,5.0,,0.05,1.35
2019-06-13,14,5.0,,0.05,0.7000000000000001
2019-06-14,26,5.0,,0.05,1.3
2019-06-15,21,5.0,,0.05,1.05
2019-06-16,33,10.0,False,0.1,3.3000000000000003
2019-06-17,46,10.0,,0.1,4.6000000000000005
2019-06-18,18,10.0,,0.1,1.8
2019-06-19,14,10.0,,0.1,1.4000000000000001
2019-06-20,14,10.0,,0.1,1.4000000000000001
2019-06-21,24,10.0,,0.1,2.4000000000000004
2019-06-22,77,10.0,,0.1,7.7
2019-06-23,63,14.0,False,0.14,8.82
2019-06-24,37,14.0,,0.14,5.180000000000001
2019-06-25,64,14.0,,0.14,8.96
2019-06-26,100,14.0,,0.14,14.000000000000002
2019-06-27,87,14.0,,0.14,12.180000000000001
2019-06-28,36,14.0,,0.14,5.040000000000001
2019-06-29,37,14.0,,0.14,5.180000000000001
2019-06-30,24,9.0,False,0.09,2.16
2019-07-01,67,9.0,,0.09,6.029999999999999
2019-07-02,100,9.0,,0.09,9.0
2019-07-03,77,9.0,,0.09,6.93
2019-07-04,59,9.0,,0.09,5.31
2019-07-05,93,9.0,,0.09,8.37
2019-07-06,53,9.0,,0.09,4.77
2019-07-07,58,8.0,False,0.08,4.64
2019-07-08,56,8.0,,0.08,4.48
2019-07-09,76,8.0,,0.08,6.08
2019-07-10,96,8.0,,0.08,7.68
2019-07-11,76,8.0,,0.08,6.08
2019-07-12,58,8.0,,0.08,4.64
2019-07-13,48,8.0,,0.08,3.84
2019-07-14,69,8.0,False,0.08,5.5200000000000005
2019-07-15,87,8.0,,0.08,6.96
2019-07-16,77,8.0,,0.08,6.16
2019-07-17,67,8.0,,0.08,5.36
2019-07-18,64,8.0,,0.08,5.12
2019-07-19,50,8.0,,0.08,4.0
2019-07-20,61,8.0,,0.08,4.88
2019-07-21,49,6.0,False,0.06,2.94
2019-07-22,31,6.0,,0.06,1.8599999999999999
2019-07-23,63,6.0,,0.06,3.78
2019-07-24,59,6.0,,0.06,3.54
2019-07-25,44,6.0,,0.06,2.6399999999999997
2019-07-26,44,6.0,,0.06,2.6399999999999997
2019-07-27,24,6.0,,0.06,1.44
2019-07-28,36,5.0,False,0.05,1.8
2019-07-29,58,5.0,,0.05,2.9000000000000004
2019-07-30,53,5.0,,0.05,2.6500000000000004
2019-07-31,58,5.0,,0.05,2.9000000000000004
2019-08-01,100,5.0,,0.05,5.0
2019-08-02,72,5.0,,0.05,3.6
2019-08-03,28,5.0,,0.05,1.4000000000000001
2019-08-04,42,8.0,False,0.08,3.36
2019-08-05,75,8.0,,0.08,6.0
2019-08-06,93,8.0,,0.08,7.44
2019-08-07,87,8.0,,0.08,6.96
2019-08-08,62,8.0,,0.08,4.96
2019-08-09,77,8.0,,0.08,6.16
2019-08-10,57,8.0,,0.08,4.5600000000000005
2019-08-11,78,6.0,False,0.06,4.68
2019-08-12,56,6.0,,0.06,3.36
2019-08-13,42,6.0,,0.06,2.52
2019-08-14,93,6.0,,0.06,5.58
2019-08-15,81,6.0,,0.06,4.859999999999999
2019-08-16,44,6.0,,0.06,2.6399999999999997
2019-08-17,28,6.0,,0.06,1.68
2019-08-18,62,7.0,False,0.07,4.340000000000001
2019-08-19,66,7.0,,0.07,4.62
2019-08-20,84,7.0,,0.07,5.880000000000001
2019-08-21,30,7.0,,0.07,2.1
2019-08-22,73,7.0,,0.07,5.11
2019-08-23,57,7.0,,0.07,3.99
2019-08-24,48,7.0,,0.07,3.3600000000000003
2019-08-25,28,6.0,False,0.06,1.68
2019-08-26,42,6.0,,0.06,2.52
2019-08-27,41,6.0,,0.06,2.46
2019-08-28,41,6.0,,0.06,2.46
2019-08-29,65,6.0,,0.06,3.9
2019-08-30,72,6.0,,0.06,4.32
2019-08-31,74,6.0,,0.06,4.4399999999999995
2019-09-01,24,6.0,False,0.06,1.44
2019-09-02,49,6.0,,0.06,2.94
2019-09-03,84,6.0,,0.06,5.04
2019-09-04,58,6.0,,0.06,3.48
2019-09-05,53,6.0,,0.06,3.1799999999999997
2019-09-06,66,6.0,,0.06,3.96
2019-09-07,12,6.0,,0.06,0.72
2019-09-08,42,5.0,False,0.05,2.1
2019-09-09,21,5.0,,0.05,1.05
2019-09-10,48,5.0,,0.05,2.4000000000000004
2019-09-11,42,5.0,,0.05,2.1
2019-09-12,58,5.0,,0.05,2.9000000000000004
2019-09-13,39,5.0,,0.05,1.9500000000000002
2019-09-14,54,5.0,,0.05,2.7
2019-09-15,29,5.0,False,0.05,1.4500000000000002
2019-09-16,21,5.0,,0.05,1.05
2019-09-17,41,5.0,,0.05,2.0500000000000003
2019-09-18,67,5.0,,0.05,3.35
2019-09-19,74,5.0,,0.05,3.7
2019-09-20,66,5.0,,0.05,3.3000000000000003
2019-09-21,47,5.0,,0.05,2.35
2019-09-22,29,6.0,False,0.06,1.74
2019-09-23,5,6.0,,0.06,0.3
2019-09-24,41,6.0,,0.06,2.46
2019-09-25,92,6.0,,0.06,5.52
2019-09-26,100,6.0,,0.06,6.0
2019-09-27,49,6.0,,0.06,2.94
2019-09-28,42,6.0,,0.06,2.52
2019-09-29,36,5.0,False,0.05,1.8
2019-09-30,68,5.0,,0.05,3.4000000000000004
2019-10-01,70,5.0,,0.05,3.5
2019-10-02,37,5.0,,0.05,1.85
2019-10-03,21,5.0,,0.05,1.05
2019-10-04,45,5.0,,0.05,2.25
2019-10-05,55,5.0,,0.05,2.75
2019-10-06,43,4.0,False,0.04,1.72
2019-10-07,54,4.0,,0.04,2.16
2019-10-08,38,4.0,,0.04,1.52
2019-10-09,49,4.0,,0.04,1.96
2019-10-10,43,4.0,,0.04,1.72
2019-10-11,60,4.0,,0.04,2.4
2019-10-12,18,4.0,,0.04,0.72
2019-10-13,60,6.0,False,0.06,3.5999999999999996
2019-10-14,43,6.0,,0.06,2.58
2019-10-15,42,6.0,,0.06,2.52
2019-10-16,27,6.0,,0.06,1.6199999999999999
2019-10-17,54,6.0,,0.06,3.2399999999999998
2019-10-18,51,6.0,,0.06,3.06
2019-10-19,12,6.0,,0.06,0.72
2019-10-20,36,6.0,False,0.06,2.16
2019-10-21,37,6.0,,0.06,2.2199999999999998
2019-10-22,61,6.0,,0.06,3.6599999999999997
2019-10-23,42,6.0,,0.06,2.52
2019-10-24,100,6.0,,0.06,6.0
2019-10-25,56,6.0,,0.06,3.36
2019-10-26,31,6.0,,0.06,1.8599999999999999
2019-10-27,71,6.0,False,0.06,4.26
2019-10-28,36,6.0,,0.06,2.16
2019-10-29,81,6.0,,0.06,4.859999999999999
2019-10-30,64,6.0,,0.06,3.84
2019-10-31,38,6.0,,0.06,2.28
2019-11-01,39,6.0,,0.06,2.34
2019-11-02,49,6.0,,0.06,2.94
2019-11-03,32,5.0,False,0.05,1.6
2019-11-04,51,5.0,,0.05,2.5500000000000003
2019-11-05,50,5.0,,0.05,2.5
2019-11-06,78,5.0,,0.05,3.9000000000000004
2019-11-07,43,5.0,,0.05,2.15
2019-11-08,67,5.0,,0.05,3.35
2019-11-09,65,5.0,,0.05,3.25
2019-11-10,24,4.0,False,0.04,0.96
2019-11-11,50,4.0,,0.04,2.0
2019-11-12,93,4.0,,0.04,3.72
2019-11-13,65,4.0,,0.04,2.6
2019-11-14,42,4.0,,0.04,1.68
2019-11-15,22,4.0,,0.04,0.88
2019-11-16,58,4.0,,0.04,2.32
2019-11-17,40,5.0,False,0.05,2.0
2019-11-18,87,5.0,,0.05,4.3500000000000005
2019-11-19,58,5.0,,0.05,2.9000000000000004
2019-11-20,51,5.0,,0.05,2.5500000000000003
2019-11-21,59,5.0,,0.05,2.95
2019-11-22,91,5.0,,0.05,4.55
2019-11-23,33,5.0,,0.05,1.6500000000000001
2019-11-24,40,5.0,False,0.05,2.0
2019-11-25,100,5.0,,0.05,5.0
2019-11-26,72,5.0,,0.05,3.6
2019-11-27,87,5.0,,0.05,4.3500000000000005
2019-11-28,74,5.0,,0.05,3.7
2019-11-29,67,5.0,,0.05,3.35
2019-11-30,40,5.0,,0.05,2.0
2019-12-01,49,4.0,False,0.04,1.96
2019-12-02,63,4.0,,0.04,2.52
2019-12-03,70,4.0,,0.04,2.8000000000000003
2019-12-04,63,4.0,,0.04,2.52
2019-12-05,51,4.0,,0.04,2.04
2019-12-06,60,4.0,,0.04,2.4
2019-12-07,22,4.0,,0.04,0.88
2019-12-08,37,4.0,False,0.04,1.48
2019-12-09,45,4.0,,0.04,1.8
2019-12-10,20,4.0,,0.04,0.8
2019-12-11,57,4.0,,0.04,2.2800000000000002
2019-12-12,52,4.0,,0.04,2.08
2019-12-13,53,4.0,,0.04,2.12
2019-12-14,57,4.0,,0.04,2.2800000000000002
2019-12-15,50,6.0,False,0.06,3.0
2019-12-16,88,6.0,,0.06,5.279999999999999
2019-12-17,45,6.0,,0.06,2.6999999999999997
2019-12-18,76,6.0,,0.06,4.56
2019-12-19,100,6.0,,0.06,6.0
2019-12-20,83,6.0,,0.06,4.9799999999999995
2019-12-21,44,6.0,,0.06,2.6399999999999997
2019-12-22,59,5.0,False,0.05,2.95
2019-12-23,48,5.0,,0.05,2.4000000000000004
2019-12-24,52,5.0,,0.05,2.6
2019-12-25,56,5.0,,0.05,2.8000000000000003
2019-12-26,56,5.0,,0.05,2.8000000000000003
2019-12-27,34,5.0,,0.05,1.7000000000000002
2019-12-28,52,5.0,,0.05,2.6
2019-12-29,95,4.0,False,0.04,3.8000000000000003
2019-12-30,33,4.0,,0.04,1.32
2019-12-31,22,4.0,,0.04,0.88
2020-01-01,43,4.0,,0.04,1.72
2020-01-02,69,4.0,,0.04,2.7600000000000002
2020-01-03,48,4.0,,0.04,1.92
2020-01-04,39,4.0,,0.04,1.56
2020-01-05,87,6.0,False,0.06,5.22
2020-01-06,65,6.0,,0.06,3.9
2020-01-07,65,6.0,,0.06,3.9
2020-01-08,70,6.0,,0.06,4.2
2020-01-09,100,6.0,,0.06,6.0
2020-01-10,30,6.0,,0.06,1.7999999999999998
2020-01-11,66,6.0,,0.06,3.96
2020-01-12,19,6.0,False,0.06,1.14
2020-01-13,38,6.0,,0.06,2.28
2020-01-14,25,6.0,,0.06,1.5
2020-01-15,78,6.0,,0.06,4.68
2020-01-16,82,6.0,,0.06,4.92
2020-01-17,78,6.0,,0.06,4.68
2020-01-18,72,6.0,,0.06,4.32
2020-01-19,70,4.0,False,0.04,2.8000000000000003
2020-01-20,76,4.0,,0.04,3.04
2020-01-21,64,4.0,,0.04,2.56
2020-01-22,29,4.0,,0.04,1.16
2020-01-23,52,4.0,,0.04,2.08
2020-01-24,66,4.0,,0.04,2.64
2020-01-25,46,4.0,,0.04,1.84
2020-01-26,70,5.0,False,0.05,3.5
2020-01-27,28,5.0,,0.05,1.4000000000000001
2020-01-28,34,5.0,,0.05,1.7000000000000002
2020-01-29,46,5.0,,0.05,2.3000000000000003
2020-01-30,53,5.0,,0.05,2.6500000000000004
2020-01-31,61,5.0,,0.05,3.0500000000000003
2020-02-01,42,5.0,,0.05,2.1
2020-02-02,29,5.0,False,0.05,1.4500000000000002
2020-02-03,43,5.0,,0.05,2.15
2020-02-04,73,5.0,,0.05,3.6500000000000004
2020-02-05,100,5.0,,0.05,5.0
2020-02-06,57,5.0,,0.05,2.85
2020-02-07,71,5.0,,0.05,3.5500000000000003
2020-02-08,41,5.0,,0.05,2.0500000000000003
2020-02-09,97,7.0,False,0.07,6.790000000000001
2020-02-10,66,7.0,,0.07,4.62
2020-02-11,86,7.0,,0.07,6.0200000000000005
2020-02-12,92,7.0,,0.07,6.44
2020-02-13,52,7.0,,0.07,3.6400000000000006
2020-02-14,70,7.0,,0.07,4.9
2020-02-15,88,7.0,,0.07,6.16
2020-02-16,52,7.0,False,0.07,3.6400000000000006
2020-02-17,82,7.0,,0.07,5.74
2020-02-18,80,7.0,,0.07,5.6000000000000005
2020-02-19,61,7.0,,0.07,4.2700000000000005
2020-02-20,36,7.0,,0.07,2.5200000000000005
2020-02-21,58,7.0,,0.07,4.0600000000000005
2020-02-22,52,7.0,,0.07,3.6400000000000006
2020-02-23,29,8.0,False,0.08,2.32
2020-02-24,72,8.0,,0.08,5.76
2020-02-25,86,8.0,,0.08,6.88
2020-02-26,44,8.0,,0.08,3.52
2020-02-27,94,8.0,,0.08,7.5200000000000005
2020-02-28,94,8.0,,0.08,7.5200000000000005
2020-02-29,90,8.0,,0.08,7.2
2020-03-01,31,6.0,False,0.06,1.8599999999999999
2020-03-02,24,6.0,,0.06,1.44
2020-03-03,20,6.0,,0.06,1.2
2020-03-04,15,6.0,,0.06,0.8999999999999999
2020-03-05,19,6.0,,0.06,1.14
2020-03-06,29,6.0,,0.06,1.74
2020-03-07,19,6.0,,0.06,1.14
2020-03-08,21,14.0,False,0.14,2.9400000000000004
2020-03-09,54,14.0,,0.14,7.5600000000000005
2020-03-10,22,14.0,,0.14,3.08
2020-03-11,29,14.0,,0.14,4.0600000000000005
2020-03-12,88,14.0,,0.14,12.32
2020-03-13,100,14.0,,0.14,14.000000000000002
2020-03-14,62,14.0,,0.14,8.680000000000001
2020-03-15,27,12.0,False,0.12,3.2399999999999998
2020-03-16,60,12.0,,0.12,7.199999999999999
2020-03-17,63,12.0,,0.12,7.56
2020-03-18,31,12.0,,0.12,3.7199999999999998
2020-03-19,51,12.0,,0.12,6.12
2020-03-20,34,12.0,,0.12,4.08
2020-03-21,43,12.0,,0.12,5.16
2020-03-22,34,11.0,False,0.11,3.74
2020-03-23,21,11.0,,0.11,2.31
2020-03-24,46,11.0,,0.11,5.06
2020-03-25,25,11.0,,0.11,2.75
2020-03-26,22,11.0,,0.11,2.42
2020-03-27,41,11.0,,0.11,4.51
2020-03-28,24,11.0,,0.11,2.64
2020-03-29,37,7.0,False,0.07,2.5900000000000003
2020-03-30,29,7.0,,0.07,2.0300000000000002
2020-03-31,27,7.0,,0.07,1.8900000000000001
2020-04-01,68,7.0,,0.07,4.760000000000001
2020-04-02,43,7.0,,0.07,3.0100000000000002
2020-04-03,57,7.0,,0.07,3.99
2020-04-04,48,7.0,,0.07,3.3600000000000003
2020-04-05,48,7.0,False,0.07,3.3600000000000003
2020-04-06,80,7.0,,0.07,5.6000000000000005
2020-04-07,64,7.0,,0.07,4.48
2020-04-08,57,7.0,,0.07,3.99
2020-04-09,31,7.0,,0.07,2.1700000000000004
2020-04-10,96,7.0,,0.07,6.720000000000001
2020-04-11,58,7.0,,0.07,4.0600000000000005
2020-04-12,83,6.0,False,0.06,4.9799999999999995
2020-04-13,44,6.0,,0.06,2.6399999999999997
2020-04-14,55,6.0,,0.06,3.3
2020-04-15,34,6.0,,0.06,2.04
2020-04-16,26,6.0,,0.06,1.56
2020-04-17,48,6.0,,0.06,2.88
2020-04-18,53,6.0,,0.06,3.1799999999999997
2020-04-19,53,6.0,False,0.06,3.1799999999999997
2020-04-20,34,6.0,,0.06,2.04
2020-04-21,64,6.0,,0.06,3.84
2020-04-22,43,6.0,,0.06,2.58
2020-04-23,58,6.0,,0.06,3.48
2020-04-24,83,6.0,,0.06,4.9799999999999995
2020-04-25,82,6.0,,0.06,4.92
2020-04-26,82,9.0,False,0.09,7.38
2020-04-27,47,9.0,,0.09,4.2299999999999995
2020-04-28,100,9.0,,0.09,9.0
2020-04-29,84,9.0,,0.09,7.56
2020-04-30,81,9.0,,0.09,7.29
2020-05-01,49,9.0,,0.09,4.41
2020-05-02,56,9.0,,0.09,5.04
2020-05-03,44,10.0,False,0.1,4.4
2020-05-04,33,10.0,,0.1,3.3000000000000003
2020-05-05,47,10.0,,0.1,4.7
2020-05-06,37,10.0,,0.1,3.7
2020-05-07,62,10.0,,0.1,6.2
2020-05-08,70,10.0,,0.1,7.0
2020-05-09,49,10.0,,0.1,4.9
2020-05-10,66,12.0,False,0.12,7.92
2020-05-11,100,12.0,,0.12,12.0
2020-05-12,73,12.0,,0.12,8.76
2020-05-13,38,12.0,,0.12,4.56
2020-05-14,58,12.0,,0.12,6.96
2020-05-15,42,12.0,,0.12,5.04
2020-05-16,44,12.0,,0.12,5.279999999999999
2020-05-17,50,8.0,False,0.08,4.0
2020-05-18,23,8.0,,0.08,1.84
2020-05-19,28,8.0,,0.08,2.24
2020-05-20,57,8.0,,0.08,4.5600000000000005
2020-05-21,37,8.0,,0.08,2.96
2020-05-22,37,8.0,,0.08,2.96
2020-05-23,26,8.0,,0.08,2.08
2020-05-24,32,6.0,False,0.06,1.92
2020-05-25,38,6.0,,0.06,2.28
2020-05-26,31,6.0,,0.06,1.8599999999999999
2020-05-27,31,6.0,,0.06,1.8599999999999999
2020-05-28,28,6.0,,0.06,1.68
2020-05-29,38,6.0,,0.06,2.28
2020-05-30,21,6.0,,0.06,1.26
2020-05-31,39,7.0,False,0.07,2.7300000000000004
2020-06-01,58,7.0,,0.07,4.0600000000000005
2020-06-02,83,7.0,,0.07,5.8100000000000005
2020-06-03,78,7.0,,0.07,5.460000000000001
2020-06-04,60,7.0,,0.07,4.2
2020-06-05,44,7.0,,0.07,3.08
2020-06-06,50,7.0,,0.07,3.5000000000000004
2020-06-07,58,5.0,False,0.05,2.9000000000000004
2020-06-08,36,5.0,,0.05,1.8
2020-06-09,72,5.0,,0.05,3.6
2020-06-10,32,5.0,,0.05,1.6
2020-06-11,45,5.0,,0.05,2.25
2020-06-12,94,5.0,,0.05,4.7
2020-06-13,90,5.0,,0.05,4.5
2020-06-14,51,5.0,False,0.05,2.5500000000000003
2020-06-15,45,5.0,,0.05,2.25
2020-06-16,57,5.0,,0.05,2.85
2020-06-17,78,5.0,,0.05,3.9000000000000004
